epoch,step,test_accuracy,test_class_0_acc,test_class_1_acc,test_class_2_acc,test_loss,train_accuracy,train_class_0_acc,train_class_1_acc,train_class_2_acc,train_loss,val_accuracy,val_class_0_acc,val_class_1_acc,val_class_2_acc,val_loss
0,8,,,,,,,,,,,0.32604432106018066,0.20641542971134186,0.26561465859413147,0.5138619542121887,1.1230342388153076
0,9,,,,,,0.3038793206214905,0.19001919031143188,0.35957446694374084,0.3865336775779724,1.186679720878601,,,,,
0,16,,,,,,,,,,,0.38744041323661804,0.46276623010635376,0.179977148771286,0.4630470275878906,1.0928736925125122
1,19,,,,,,0.3556034564971924,0.37278106808662415,0.2886075973510742,0.3918367028236389,1.1453969478607178,,,,,
1,26,,,,,,,,,,,0.39529019594192505,0.752318799495697,0.08887522667646408,0.21745170652866364,1.075178623199463
1,29,,,,,,0.31681033968925476,0.43409088253974915,0.22303207218647003,0.36466166377067566,1.1642909049987793,,,,,
1,34,,,,,,,,,,,0.41603586077690125,0.9284731149673462,0.012696459889411926,0.13124950230121613,1.0650051832199097
2,39,,,,,,0.42241379618644714,0.5143312215805054,0.27419352531433105,0.3817829489707947,1.0868604183197021,,,,,
2,44,,,,,,,,,,,0.4322960674762726,0.9490195512771606,0.0,0.1655755639076233,1.054726243019104
2,49,,,,,,0.4073275923728943,0.5050675868988037,0.2506265640258789,0.4189526438713074,1.1090805530548096,,,,,
2,52,,,,,,,,,,,0.4802354872226715,0.9695659875869751,0.0,0.28446006774902344,1.044371485710144
3,59,,,,,,0.44109195470809937,0.5288611650466919,0.2163265198469162,0.4387351870536804,1.0755499601364136,,,,,
3,62,,,,,,,,,,,0.5149985551834106,0.9845881462097168,0.0,0.3705984055995941,1.03412663936615
3,69,,,,,,0.3958333432674408,0.5426497459411621,0.13383838534355164,0.4471910297870636,1.0915584564208984,,,,,
3,70,,,,,,,,,,,0.5351836681365967,0.9845881462097168,0.0,0.4309742748737335,1.024303674697876
4,79,,,,,,0.41091954708099365,0.6015625,0.17099566757678986,0.44258370995521545,1.0777558088302612,,,,,
4,80,,,,,,,,,,,0.5500420331954956,0.9825971722602844,0.0,0.4774722158908844,1.015325665473938
4,88,,,,,,,,,,,0.5590131878852844,0.9727094769477844,0.0,0.5158870220184326,1.0059651136398315
4,89,,,,,,0.42970824241638184,0.5454545617103577,0.19692307710647583,0.4866666793823242,1.064853549003601,,,,,
5,98,,,,,,,,,,,0.56966632604599,0.964202880859375,0.0,0.5575542449951172,0.9965795874595642
5,99,,,,,,0.4066092073917389,0.6085106134414673,0.1779816597700119,0.485411137342453,1.0934799909591675,,,,,
5,106,,,,,,,,,,,0.5915334820747375,0.964202880859375,0.0439632274210453,0.588627815246582,0.9876425862312317
6,109,,,,,,0.5129310488700867,0.610675036907196,0.22500000894069672,0.5262135863304138,1.0006006956100464,,,,,
6,116,,,,,,,,,,,0.5915334820747375,0.964202880859375,0.0439632274210453,0.588627815246582,0.9789444804191589
6,119,,,,,,0.4267241358757019,0.6365688443183899,0.18580375611782074,0.47446808218955994,1.081904649734497,,,,,
6,124,,,,,,,,,,,0.6030277013778687,0.964202880859375,0.0439632274210453,0.6229538917541504,0.9704387187957764
7,129,,,,,,0.49712643027305603,0.6425926089286804,0.20937500894069672,0.5225564241409302,1.0161579847335815,,,,,
7,134,,,,,,,,,,,0.6077936887741089,0.9600597620010376,0.0439632274210453,0.6421142220497131,0.9603991508483887
7,139,,,,,,0.4798850417137146,0.6740000247955322,0.17721518874168396,0.5251508951187134,1.0259521007537842,,,,,
7,142,,,,,,,,,,,0.6077936887741089,0.9600597620010376,0.0439632274210453,0.6421142220497131,0.9502508640289307
8,149,,,,,,0.5617815852165222,0.6617210507392883,0.21991702914237976,0.5932914018630981,0.970335066318512,,,,,
8,152,,,,,,,,,,,0.6024670600891113,0.9431575536727905,0.0439632274210453,0.6462044715881348,0.9401052594184875
8,159,,,,,,0.5495689511299133,0.653124988079071,0.20161288976669312,0.5892857313156128,0.9807527661323547,,,,,
8,160,,,,,,,,,,,0.607232928276062,0.9390144348144531,0.0439632274210453,0.6653648018836975,0.9302659630775452
9,169,,,,,,0.5524425506591797,0.7150084376335144,0.1927710771560669,0.5400000214576721,0.9709534049034119,,,,,
9,170,,,,,,,,,,,0.6136809587478638,0.9369697570800781,0.0439632274210453,0.6869396567344666,0.9204045534133911
9,178,,,,,,,,,,,0.6136809587478638,0.9369697570800781,0.0439632274210453,0.6869396567344666,0.9112666249275208
9,179,,,,,,0.5614500641822815,0.6742857098579407,0.2142857313156128,0.625,0.9582116007804871,,,,,
10,188,,,,,,,,,,,0.6201289296150208,0.9349786639213562,0.0439632274210453,0.7083214521408081,0.9016438722610474
10,189,,,,,,0.6099137663841248,0.687999963760376,0.2777777910232544,0.5579710006713867,0.9211267828941345,,,,,
10,196,,,,,,,,,,,0.6201289296150208,0.9349786639213562,0.0439632274210453,0.7083214521408081,0.8925120830535889
11,199,,,,,,0.4885057508945465,0.6916488409042358,0.16483516991138458,0.7044855356216431,1.0024529695510864,,,,,
11,206,,,,,,,,,,,0.6201289296150208,0.9349786639213562,0.0439632274210453,0.7083214521408081,0.8816821575164795
11,209,,,,,,0.48419541120529175,0.7207446694374084,0.17311234772205353,0.6532769203186035,1.0106289386749268,,,,,
11,214,,,,,,,,,,,0.6198486089706421,0.934315025806427,0.0439632274210453,0.7083214521408081,0.8721879124641418
12,219,,,,,,0.5739942789077759,0.7030497789382935,0.15705128014087677,0.6827133297920227,0.9224199056625366,,,,,
