epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
15,559,,,0.6975574493408203,0.8440521359443665,,
15,569,,,0.5387930870056152,1.0996001958847046,,
15,575,,,,,0.7039080858230591,0.8272535800933838
16,579,,,0.48635056614875793,1.1854348182678223,,
16,589,,,0.6343390941619873,0.9281402230262756,,
16,599,,,0.7068965435028076,0.8405916094779968,,
16,609,,,0.5409482717514038,1.0991097688674927,,
16,611,,,,,0.7039080858230591,0.8284609913825989
17,619,,,0.8764367699623108,0.5871284604072571,,
17,629,,,0.6436781883239746,0.9177903532981873,,
17,639,,,0.5984195470809937,1.0274255275726318,,
17,647,,,,,0.7039080858230591,0.8282297253608704
18,649,,,0.7658045887947083,0.7439712882041931,,
18,659,,,0.6530172228813171,0.941303551197052,,
18,669,,,0.7607758641242981,0.75334632396698,,
18,679,,,0.6408045887947083,0.9502032995223999,,
18,683,,,,,0.7039080858230591,0.8282231092453003
19,689,,,0.7076149582862854,0.8420138359069824,,
19,699,,,0.7112069129943848,0.8217086791992188,,
19,709,,,0.6580459475517273,0.9225631952285767,,
19,719,,,0.6436781287193298,0.9456475973129272,,
19,719,,,,,0.7039080858230591,0.8274751305580139
20,729,,,0.5991379022598267,1.0344657897949219,,
20,739,,,0.8146551847457886,0.6700822114944458,,
20,749,,,0.7033045887947083,0.8371435403823853,,
20,755,,,,,0.7039080858230591,0.827178955078125
21,759,,,0.704741358757019,0.8574192523956299,,
21,769,,,0.48419541120529175,1.2003785371780396,,
21,779,,,0.5330459475517273,1.1095848083496094,,
21,789,,,0.704741358757019,0.8509460091590881,,
21,791,,,,,0.7039080858230591,0.8267500996589661
22,799,,,0.43031609058380127,1.3019860982894897,,
22,809,,,0.7614942789077759,0.7489417791366577,,
22,819,,,0.6637930870056152,0.9094403982162476,,
22,827,,,,,0.7039080858230591,0.8263871073722839
23,829,,,0.7787356376647949,0.7371475100517273,,
23,839,,,0.6566091775894165,0.907954752445221,,
23,849,,,0.7708333134651184,0.744670569896698,,
23,859,,,0.8433908224105835,0.6394191384315491,,
23,863,,,,,0.7039080858230591,0.8258470892906189
24,869,,,0.7816091775894165,0.7250300645828247,,
24,879,,,0.5502873659133911,1.1152293682098389,,
24,889,,,0.6630747318267822,0.9230843186378479,,
24,899,,,0.6513409614562988,0.9368706941604614,,
24,899,,,,,0.7039080858230591,0.825904369354248
25,909,,,0.6623563170433044,0.8944988250732422,,
25,919,,,0.6637930870056152,0.9302030801773071,,
25,929,,,0.5495689511299133,1.0891482830047607,,
25,935,,,,,0.7039080858230591,0.8253536224365234
26,939,,,0.7758620381355286,0.7347586154937744,,
26,949,,,0.670976996421814,0.9111436009407043,,
26,959,,,0.7248563170433044,0.8061876893043518,,
26,969,,,0.8448275923728943,0.6383689045906067,,
26,971,,,,,0.7039080858230591,0.8237553238868713
27,972,0.6809644103050232,0.8743871450424194,,,,
