epoch,step,test_accuracy,test_class_0_acc,test_class_1_acc,test_class_2_acc,test_loss,train_accuracy,train_class_0_acc,train_class_1_acc,train_class_2_acc,train_loss,val_accuracy,val_class_0_acc,val_class_1_acc,val_class_2_acc,val_loss
0,9,,,,,,0.41163793206214905,0.16483516991138458,0.44378697872161865,0.42667844891548157,1.083817958831787,,,,,
0,19,,,,,,0.38002872467041016,0.1325301229953766,0.5054945349693298,0.4277566373348236,1.1513712406158447,,,,,
0,29,,,,,,0.3556034564971924,0.11138015240430832,0.4421052932739258,0.4604072570800781,1.2081232070922852,,,,,
0,35,,,,,,,,,,,0.4771122932434082,0.011861770413815975,0.44814130663871765,0.5696689486503601,1.0321640968322754
1,39,,,,,,0.43318966031074524,0.10179641097784042,0.1666666716337204,0.4799015522003174,1.0827910900115967,,,,,
1,49,,,,,,0.4583333432674408,0.12727272510528564,0.3604651093482971,0.513584554195404,1.0717917680740356,,,,,
1,59,,,,,,0.39152297377586365,0.0717131495475769,0.3765060007572174,0.4969097673892975,1.1372219324111938,,,,,
1,69,,,,,,0.4791666567325592,0.10344827175140381,0.34090909361839294,0.5160230398178101,1.0172702074050903,,,,,
1,71,,,,,,,,,,,0.6027424931526184,0.011861770413815975,0.22757726907730103,0.7845718860626221,0.9759178757667542
2,79,,,,,,0.48419541120529175,0.10588235408067703,0.29999998211860657,0.5793244242668152,1.0217641592025757,,,,,
2,89,,,,,,0.38936781883239746,0.09405940771102905,0.3255814015865326,0.5753424763679504,1.187591314315796,,,,,
2,99,,,,,,0.5079023241996765,0.14457830786705017,0.2806324362754822,0.5909091234207153,0.9840260744094849,,,,,
2,107,,,,,,,,,,,0.6864287257194519,0.011861770413815975,0.05813489109277725,0.9317266941070557,0.9269992709159851
3,109,,,,,,0.5423850417137146,0.13483145833015442,0.3254438042640686,0.6067019104957581,0.9512323141098022,,,,,
3,119,,,,,,0.5114942789077759,0.07228915393352509,0.27272728085517883,0.6350710988044739,1.0329581499099731,,,,,
3,129,,,,,,0.47341954708099365,0.09600000083446503,0.2540322542190552,0.6398210525512695,1.057243824005127,,,,,
3,139,,,,,,0.5696839094161987,0.1190476194024086,0.24803149700164795,0.6831119656562805,0.9575299024581909,,,,,
3,143,,,,,,,,,,,0.7197015285491943,0.0,0.011626978404819965,0.9886211156845093,0.8847206234931946
4,149,,,,,,0.556034505367279,0.0833333358168602,0.24561403691768646,0.6818613409996033,0.9694107174873352,,,,,
4,159,,,,,,0.608476996421814,0.10162600874900818,0.20000000298023224,0.7195442914962769,0.9443203210830688,,,,,
4,169,,,,,,0.5287356376647949,0.03529411926865578,0.20481927692890167,0.726457417011261,0.9844266772270203,,,,,
4,179,,,,,,0.6534040570259094,0.13793103396892548,0.4000000059604645,0.6977863311767578,0.8470022678375244,,,,,
4,179,,,,,,,,,,,0.7263560891151428,0.0,0.0,1.0,0.8511899709701538
5,189,,,,,,0.6170976758003235,0.10588235408067703,0.18000000715255737,0.7615894079208374,0.9041061997413635,,,,,
5,199,,,,,,0.5610632300376892,0.072727270424366,0.11627906560897827,0.7653688192367554,1.0050796270370483,,,,,
5,209,,,,,,0.539511501789093,0.07058823853731155,0.16105769574642181,0.760942816734314,0.9784532785415649,,,,,
5,215,,,,,,,,,,,0.7263560891151428,0.0,0.0,1.0,0.825992226600647
