epoch,step,train_acc,train_f1,train_loss,train_mcc,val_acc,val_f1,val_loss,val_mcc
0,49,0.4962025284767151,0.5947046875953674,0.7285794615745544,0.05758092552423477,,,,
0,68,,,,,0.507434606552124,0.19991233944892883,0.7062718272209167,0.045580144971609116
1,99,0.582456111907959,0.376963347196579,0.666808545589447,0.06550414860248566,,,,
1,137,,,,,0.5187621116638184,0.5530425906181335,0.6936655044555664,0.03609389066696167
2,149,0.5867347121238708,0.6860465407371521,0.6753185987472534,0.08169616013765335,,,,
2,199,0.637651801109314,0.7371512651443481,0.6617571115493774,0.15437202155590057,,,,
2,206,,,,,0.517841100692749,0.33819150924682617,0.6981777548789978,0.054792940616607666
3,249,0.21362799406051636,0.2847571074962616,0.8485265970230103,0.003927900455892086,,,,
3,275,,,,,0.5220481753349304,0.49110397696495056,0.6932297348976135,0.04809084162116051
4,299,0.48310139775276184,0.4628099203109741,0.7168331742286682,0.03619501367211342,,,,
4,344,,,,,0.5104792714118958,0.21896186470985413,0.7031311392784119,0.05238839238882065
5,349,0.7142857313156128,0.3586956560611725,0.6373251080513,0.17530065774917603,,,,
5,399,0.5231214165687561,0.40433213114738464,0.6895414590835571,0.07132136821746826,,,,
5,413,,,,,0.5214146971702576,0.42509767413139343,0.6951712965965271,0.05253255367279053
6,449,0.4771573543548584,0.38323354721069336,0.7058852910995483,0.005937720648944378,,,,
6,482,,,,,0.5101133584976196,0.6556781530380249,0.698788583278656,0.011740029789507389
7,499,0.5317919254302979,0.38790932297706604,0.695197343826294,0.017666161060333252,,,,
7,549,0.580152690410614,0.5864661931991577,0.6869158148765564,0.17048762738704681,,,,
7,551,,,,,0.5201467871665955,0.6021876335144043,0.6961645483970642,0.03631572052836418
8,599,0.5726743936538696,0.5787965655326843,0.6776235699653625,0.14634069800376892,,,,
8,620,,,,,0.520630419254303,0.42470991611480713,0.6942940354347229,0.05039066821336746
9,649,0.5485960841178894,0.5324384570121765,0.6844639778137207,0.12733858823776245,,,,
9,689,,,,,0.5196834802627563,0.577478289604187,0.6962552666664124,0.03659842163324356
10,699,0.52173912525177,0.5020576119422913,0.7021929025650024,0.0898989662528038,,,,
10,749,0.3798283338546753,0.5008635520935059,0.7127254605293274,0.07326757162809372,,,,
10,758,,,,,0.5240846276283264,0.5160155892372131,0.6947419047355652,0.048885948956012726
11,799,0.5296609997749329,0.5022421479225159,0.6881951689720154,0.08030297607183456,,,,
11,827,,,,,0.5232770442962646,0.4264206886291504,0.6941189169883728,0.056109245866537094
12,849,0.5035461187362671,0.4262295067310333,0.7011705636978149,0.17949898540973663,,,,
12,896,,,,,0.5220945477485657,0.48400500416755676,0.695338785648346,0.04773733764886856
13,899,0.5188916921615601,0.541966438293457,0.6899468898773193,0.0984235554933548,,,,
13,949,0.832335352897644,0.2222222238779068,0.5859925746917725,0.2196369469165802,,,,
13,965,,,,,0.5217837691307068,0.3958294689655304,0.6953819990158081,0.05661356449127197
14,999,0.41224488615989685,0.373913049697876,0.7173698544502258,0.04282790794968605,,,,
14,1034,,,,,0.5162858366966248,0.6166889667510986,0.6971960663795471,0.028420746326446533
15,1049,0.5135869383811951,0.5768321752548218,0.6921230554580688,0.028475817292928696,,,,
15,1099,0.7401574850082397,0.36942675709724426,0.6378362774848938,0.22701026499271393,,,,
15,1103,,,,,0.5066527128219604,0.201558455824852,0.7041969299316406,0.04300431162118912
