epoch,step,test_acc,test_f1,test_loss,test_mcc,train_acc,train_f1,train_loss,train_mcc,val_acc,val_f1,val_loss,val_mcc
0,49,,,,,0.5596153736114502,0.34757834672927856,0.7027050256729126,0.015216812491416931,,,,
0,68,,,,,,,,,0.5047541856765747,0.526222288608551,0.7080599069595337,0.00903393141925335
1,99,,,,,0.5100671052932739,0.5197368264198303,0.7473136186599731,0.06906935572624207,,,,
1,137,,,,,,,,,0.5092090964317322,0.6151404976844788,0.702309250831604,0.010326860472559929
2,149,,,,,0.5382436513900757,0.5534246563911438,0.7169859409332275,0.07611922919750214,,,,
2,199,,,,,0.5199999809265137,0.545945942401886,0.7057154774665833,0.038522522896528244,,,,
2,206,,,,,,,,,0.5201449990272522,0.5221116542816162,0.6952270269393921,0.0403539277613163
3,207,0.4979786276817322,0.586711585521698,0.7074263095855713,0.01495570782572031,,,,,,,,
