epoch,step,test_accuracy,test_class_0_acc,test_class_1_acc,test_class_2_acc,test_loss,train_accuracy,train_class_0_acc,train_class_1_acc,train_class_2_acc,train_loss,val_accuracy,val_class_0_acc,val_class_1_acc,val_class_2_acc,val_loss
0,9,,,,,,0.37140804529190063,0.24796746671199799,0.5464097857475281,0.2522796392440796,1.1727837324142456,,,,,
0,19,,,,,,0.23275862634181976,0.18599310517311096,0.49462366104125977,0.2710280418395996,1.361413598060608,,,,,
0,29,,,,,,0.2794540226459503,0.22791293263435364,0.49180325865745544,0.24795639514923096,1.2840635776519775,,,,,
0,35,,,,,,,,,,,0.33355873823165894,0.2645716071128845,0.5158665180206299,0.23346151411533356,1.1311861276626587
1,39,,,,,,0.3563218414783478,0.23553718626499176,0.5061511397361755,0.2772861421108246,1.196753978729248,,,,,
1,49,,,,,,0.2931034564971924,0.2510344982147217,0.46666669845581055,0.2597087323665619,1.2646758556365967,,,,,
1,59,,,,,,0.36135056614875793,0.2480158805847168,0.5071684718132019,0.28787878155708313,1.1747945547103882,,,,,
1,69,,,,,,0.32758620381355286,0.27243590354919434,0.5012165307998657,0.2240896373987198,1.2175357341766357,,,,,
1,71,,,,,,,,,,,0.36578768491744995,0.35075512528419495,0.4068008065223694,0.32499927282333374,1.1043356657028198
2,79,,,,,,0.3247126340866089,0.2859303951263428,0.462907999753952,0.27157360315322876,1.2219691276550293,,,,,
2,89,,,,,,0.3247126340866089,0.2669983506202698,0.4731707274913788,0.2559366822242737,1.2002817392349243,,,,,
2,99,,,,,,0.3225574791431427,0.32327044010162354,0.5204678177833557,0.24178403615951538,1.2290854454040527,,,,,
2,107,,,,,,,,,,,0.3910299837589264,0.5340947508811951,0.27013933658599854,0.2576836943626404,1.0849639177322388
3,109,,,,,,0.3548850417137146,0.2987697720527649,0.46790891885757446,0.28823530673980713,1.1818873882293701,,,,,
3,119,,,,,,0.36135056614875793,0.3512605130672455,0.461916446685791,0.2717948853969574,1.181859016418457,,,,,
3,129,,,,,,0.3512931168079376,0.3570300340652466,0.4492385685443878,0.23561644554138184,1.1870534420013428,,,,,
3,139,,,,,,0.3649425208568573,0.36427319049835205,0.4309278428554535,0.2708333432674408,1.1809751987457275,,,,,
3,143,,,,,,,,,,,0.4367816150188446,0.7677385210990906,0.12651795148849487,0.18966956436634064,1.071230173110962
4,149,,,,,,0.3771551847457886,0.38103756308555603,0.43008849024772644,0.25746268033981323,1.1557860374450684,,,,,
4,159,,,,,,0.36206895112991333,0.35218095779418945,0.47911545634269714,0.24863387644290924,1.1709264516830444,,,,,
4,169,,,,,,0.3318965435028076,0.3690303862094879,0.401759535074234,0.1944444477558136,1.1787278652191162,,,,,
4,179,,,,,,0.37110015749931335,0.3709677457809448,0.4024389982223511,0.30434781312942505,1.173773169517517,,,,,
4,179,,,,,,,,,,,0.4473743438720703,0.8317792415618896,0.09258203208446503,0.15810886025428772,1.0615843534469604
5,189,,,,,,0.34841954708099365,0.4068376123905182,0.40060240030288696,0.23999999463558197,1.1971803903579712,,,,,
5,199,,,,,,0.3534482717514038,0.3844660222530365,0.38850173354148865,0.2343234419822693,1.1757339239120483,,,,,
5,209,,,,,,0.36853447556495667,0.43248942494392395,0.37961336970329285,0.2636103332042694,1.1553223133087158,,,,,
5,215,,,,,,,,,,,0.4390353858470917,0.884009838104248,0.05786377191543579,0.07738535851240158,1.0548856258392334
6,219,,,,,,0.3656609058380127,0.458156019449234,0.31750741600990295,0.2257142812013626,1.1476918458938599,,,,,
6,229,,,,,,0.3548850417137146,0.44411325454711914,0.34834834933280945,0.20618556439876556,1.1780915260314941,,,,,
6,239,,,,,,0.36206895112991333,0.46562501788139343,0.32266008853912354,0.21676300466060638,1.1640225648880005,,,,,
6,249,,,,,,0.3843390643596649,0.45784884691238403,0.3602941334247589,0.24662162363529205,1.1275300979614258,,,,,
6,251,,,,,,,,,,,0.4568402171134949,0.9671590924263,0.023145508021116257,0.04161447659134865,1.049837589263916
7,259,,,,,,0.40086206793785095,0.5134168267250061,0.3673110902309418,0.2348484992980957,1.1289485692977905,,,,,
7,269,,,,,,0.38864943385124207,0.5160642266273499,0.35125449299812317,0.261904776096344,1.1610504388809204,,,,,
7,279,,,,,,0.37787356972694397,0.5226415395736694,0.30633801221847534,0.2551020383834839,1.1556637287139893,,,,,
7,287,,,,,,,,,,,0.4568402171134949,0.9671590924263,0.023145508021116257,0.04161447659134865,1.0460071563720703
8,289,,,,,,0.39152297377586365,0.4967426657676697,0.34236451983451843,0.2715053856372833,1.1421526670455933,,,,,
8,299,,,,,,0.36853447556495667,0.5,0.27642273902893066,0.20506912469863892,1.1607657670974731,,,,,
8,309,,,,,,0.4288793206214905,0.5274056196212769,0.3452380895614624,0.26302728056907654,1.0979892015457153,,,,,
8,319,,,,,,0.37931033968925476,0.5442478060722351,0.34057971835136414,0.24226804077625275,1.149231195449829,,,,,
8,323,,,,,,,,,,,0.4568402171134949,0.9671590924263,0.023145508021116257,0.04161447659134865,1.0427833795547485
9,329,,,,,,0.414511501789093,0.5442875623703003,0.36627906560897827,0.20408163964748383,1.0917599201202393,,,,,
9,339,,,,,,0.3987068831920624,0.5415959358215332,0.30562347173690796,0.2817258834838867,1.1336380243301392,,,,,
9,349,,,,,,0.4037356376647949,0.5345911979675293,0.261904776096344,0.20579710602760315,1.0990372896194458,,,,,
9,359,,,,,,0.3694581389427185,0.5463414788246155,0.32083335518836975,0.2195121943950653,1.1508756875991821,,,,,
9,359,,,,,,,,,,,0.46157312393188477,0.9851348996162415,0.011572754010558128,0.04161447659134865,1.0393491983413696
10,369,,,,,,0.36135056614875793,0.5461165308952332,0.3044077157974243,0.22440944612026215,1.1579315662384033,,,,,
