epoch,step,test_acc,test_f1,test_loss,test_mcc,train_acc,train_f1,train_loss,train_mcc,val_acc,val_f1,val_loss,val_mcc
0,49,,,,,0.48407644033432007,0.5070993900299072,0.7524601817131042,-0.03136874735355377,,,,
0,68,,,,,,,,,0.5148632526397705,0.605898916721344,0.7111133337020874,0.024367541074752808
1,99,,,,,0.49045801162719727,0.2684931457042694,0.7330579161643982,0.017905186861753464,,,,
1,137,,,,,,,,,0.5139203071594238,0.33100175857543945,0.7011094689369202,0.04563296586275101
2,149,,,,,0.5185185074806213,0.5547945499420166,0.7382696270942688,0.06164717674255371,,,,
2,199,,,,,0.5388235449790955,0.6449275612831116,0.7074161767959595,0.12922823429107666,,,,
2,206,,,,,,,,,0.5225814580917358,0.5693722367286682,0.6944400072097778,0.043038561940193176
3,249,,,,,0.5297805666923523,0.3534482717514038,0.7048937678337097,-0.002287327777594328,,,,
3,275,,,,,,,,,0.5222712755203247,0.5318143367767334,0.6933930516242981,0.0447554774582386
4,299,,,,,0.45821326971054077,0.4502924084663391,0.7403998970985413,0.10686729103326797,,,,
4,344,,,,,,,,,0.5171323418617249,0.32444238662719727,0.6972315907478333,0.05533023551106453
5,349,,,,,0.6209912300109863,0.10958904027938843,0.6439602971076965,0.06664250791072845,,,,
5,399,,,,,0.49884527921676636,0.47961631417274475,0.7113709449768066,0.0665157288312912,,,,
5,413,,,,,,,,,0.5199438333511353,0.569812536239624,0.6933275461196899,0.0375642292201519
6,449,,,,,0.48346054553985596,0.3636363744735718,0.7161310911178589,0.05912746489048004,,,,
6,482,,,,,,,,,0.514780580997467,0.29637545347213745,0.6964284181594849,0.05373156815767288
7,499,,,,,0.5835866332054138,0.3911111056804657,0.672092080116272,0.08423633128404617,,,,
7,549,,,,,0.5071428418159485,0.5868263244628906,0.7029409408569336,0.08026448637247086,,,,
7,551,,,,,,,,,0.5207210779190063,0.41498515009880066,0.6935247182846069,0.05236959829926491
8,599,,,,,0.54076087474823,0.501474916934967,0.6952795386314392,0.07758539170026779,,,,
8,620,,,,,,,,,0.5148658156394958,0.5567087531089783,0.693462610244751,0.028226515278220177
9,649,,,,,0.504444420337677,0.6094570755958557,0.6891143918037415,-0.0004163261619396508,,,,
9,689,,,,,,,,,0.5192869901657104,0.3945109248161316,0.6940394043922424,0.051902614533901215
10,699,,,,,0.5141242742538452,0.4522292912006378,0.6922689080238342,0.030384140089154243,,,,
10,749,,,,,0.4861111044883728,0.5722543597221375,0.7076330184936523,-0.0005855000927112997,,,,
10,758,,,,,,,,,0.5123243927955627,0.6598192453384399,0.696243166923523,0.019966522231698036
11,799,,,,,0.5878048539161682,0.2987551987171173,0.6700140237808228,0.02322443015873432,,,,
11,827,,,,,,,,,0.5192869901657104,0.3945109248161316,0.693836510181427,0.051902614533901215
12,849,,,,,0.5302325487136841,0.4712041914463043,0.6921696066856384,0.052511539310216904,,,,
12,896,,,,,,,,,0.5202810764312744,0.40506213903427124,0.6936416029930115,0.052758507430553436
13,899,,,,,0.4852941036224365,0.5053003430366516,0.6988607048988342,0.01186431385576725,,,,
13,949,,,,,0.5649999976158142,0.3916083872318268,0.6986673474311829,0.11576652526855469,,,,
13,965,,,,,,,,,0.5200268030166626,0.4146516025066376,0.6935891509056091,0.05073511227965355
14,999,,,,,0.49529188871383667,0.4885496199131012,0.7087908983230591,0.08933203667402267,,,,
14,1034,,,,,,,,,0.518025815486908,0.4229958653450012,0.6933859586715698,0.045624956488609314
15,1049,,,,,0.4988763928413391,0.4677804410457611,0.693303644657135,0.05082952231168747,,,,
15,1099,,,,,0.5526315569877625,0.5405405163764954,0.6866711974143982,0.12978841364383698,,,,
15,1103,,,,,,,,,0.521432101726532,0.3852520287036896,0.693797767162323,0.05774034559726715
16,1149,,,,,0.5309734344482422,0.30718955397605896,0.6879557371139526,0.028871776536107063,,,,
16,1172,,,,,,,,,0.5201403498649597,0.44197842478752136,0.6934639811515808,0.04842068627476692
17,1199,,,,,0.6481481194496155,0.3595505654811859,0.6604947447776794,0.12518735229969025,,,,
17,1241,,,,,,,,,0.5205045938491821,0.6104856729507446,0.6943982243537903,0.03721489757299423
18,1249,,,,,0.4931506812572479,0.4813084006309509,0.6987836956977844,0.013165057636797428,,,,
18,1299,,,,,0.6360946893692017,0.4057970941066742,0.6665061712265015,0.14502808451652527,,,,
18,1310,,,,,,,,,0.5153070688247681,0.4916975200176239,0.6932273507118225,0.033175788819789886
19,1349,,,,,0.5611940026283264,0.6696628928184509,0.6696718335151672,0.08923114091157913,,,,
19,1379,,,,,,,,,0.521432101726532,0.3852520287036896,0.6937293410301208,0.05774034559726715
20,1399,,,,,0.5881147384643555,0.28975266218185425,0.6813862919807434,0.021932868286967278,,,,
20,1448,,,,,,,,,0.5199121832847595,0.45305904746055603,0.6934486031532288,0.04632353037595749
21,1449,,,,,0.5647668242454529,0.3684210479259491,0.6910533308982849,0.07620332390069962,,,,
21,1499,,,,,0.5454545617103577,0.4628099203109741,0.6915143728256226,0.0688764899969101,,,,
21,1517,,,,,,,,,0.5191218852996826,0.3378956913948059,0.6965047121047974,0.05790368840098381
22,1549,,,,,0.46689894795417786,0.41603052616119385,0.7204129099845886,0.022553417831659317,,,,
22,1586,,,,,,,,,0.5201159119606018,0.35039186477661133,0.6951682567596436,0.0584312342107296
23,1599,,,,,0.46318289637565613,0.4175257682800293,0.7064686417579651,0.04643581807613373,,,,
23,1649,,,,,0.6440129280090332,0.4329896867275238,0.6681373119354248,0.174094095826149,,,,
23,1655,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6944916248321533,0.05822938308119774
24,1699,,,,,0.3791666626930237,0.47535210847854614,0.7342763543128967,0.11046075820922852,,,,
24,1724,,,,,,,,,0.5193747282028198,0.41431429982185364,0.6936702132225037,0.04947499930858612
25,1749,,,,,0.5652173757553101,0.6385542154312134,0.6798558831214905,0.09635299444198608,,,,
25,1793,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6951043605804443,0.05822938308119774
26,1799,,,,,0.598739504814148,0.40498441457748413,0.6709799766540527,0.10997000336647034,,,,
26,1849,,,,,0.4891485869884491,0.5432835817337036,0.6950538158416748,0.054095782339572906,,,,
26,1862,,,,,,,,,0.5159727931022644,0.4806510806083679,0.6936591267585754,0.035428375005722046
27,1899,,,,,0.5613079071044922,0.6120482087135315,0.6757238507270813,0.22648844122886658,,,,
27,1931,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6938501000404358,0.055856771767139435
28,1949,,,,,0.5480769276618958,0.4020356237888336,0.6969583034515381,0.04720880091190338,,,,
28,1999,,,,,0.5511810779571533,0.5995315909385681,0.6799551248550415,0.15630796551704407,,,,
28,2000,,,,,,,,,0.51910400390625,0.40449416637420654,0.6937958598136902,0.049643728882074356
29,2049,,,,,0.5331991910934448,0.5146443247795105,0.6933900713920593,0.07065876573324203,,,,
29,2069,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6940926909446716,0.055856771767139435
30,2099,,,,,0.5479999780654907,0.4909909963607788,0.685957670211792,0.10527000576257706,,,,
30,2138,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6941506862640381,0.05822938308119774
31,2149,,,,,0.48148149251937866,0.5078125,0.7048503160476685,0.09434638172388077,,,,
31,2199,,,,,0.5066079497337341,0.4954954981803894,0.6864422559738159,0.04355613514780998,,,,
31,2207,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6942790746688843,0.055856771767139435
32,2249,,,,,0.49247312545776367,0.46846845746040344,0.6952488422393799,0.01946086809039116,,,,
32,2276,,,,,,,,,0.5211049914360046,0.3955073058605194,0.6939138174057007,0.055080775171518326
33,2299,,,,,0.5623188614845276,0.37344399094581604,0.6795982718467712,0.052077870815992355,,,,
33,2345,,,,,,,,,0.51910400390625,0.40449416637420654,0.6938702464103699,0.049643728882074356
34,2349,,,,,0.5252918004989624,0.4577777683734894,0.6875289678573608,0.05330111086368561,,,,
34,2399,,,,,0.4783549904823303,0.5246548056602478,0.6962611675262451,0.14993508160114288,,,,
34,2414,,,,,,,,,0.5211613178253174,0.3743963837623596,0.694843590259552,0.05822938308119774
35,2449,,,,,0.4991304278373718,0.4911660850048065,0.6950356364250183,0.03886107727885246,,,,
35,2483,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6938766241073608,0.055856771767139435
36,2499,,,,,0.4390934705734253,0.4176470637321472,0.7088708877563477,0.15024718642234802,,,,
36,2549,,,,,0.5158562660217285,0.3656509816646576,0.7029463648796082,-0.025024183094501495,,,,
36,2552,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6939257383346558,0.055856771767139435
37,2599,,,,,0.49504950642585754,0.4874371886253357,0.6979360580444336,0.06608124822378159,,,,
37,2621,,,,,,,,,0.51910400390625,0.40449416637420654,0.693931519985199,0.049643728882074356
38,2649,,,,,0.6064814925193787,0.4444444477558136,0.6770218014717102,0.14974594116210938,,,,
