epoch,step,test_direction_accuracy,test_loss,test_mae,test_mse,test_r2,test_rmse,train_direction_accuracy,train_loss,train_mae,train_mse,train_r2,train_rmse,val_direction_accuracy,val_loss,val_mae,val_mse,val_r2,val_rmse
25,571,,,,,,,,,,,,,0.4677917957305908,2.213219165802002,2.405569314956665,10.831746101379395,-0.034856561571359634,3.1451168060302734
26,579,,,,,,,0.5626822113990784,1.6926743984222412,1.880813717842102,6.786324501037598,-0.004804849624633789,2.60505747795105,,,,,,
26,589,,,,,,,0.48972100019454956,1.5672816038131714,1.7532179355621338,5.73215913772583,-0.025160789489746094,2.394192695617676,,,,,,
26,593,,,,,,,,,,,,,0.4677917957305908,2.2137980461120605,2.406099319458008,10.837239265441895,-0.03532574698328972,3.145845413208008
27,599,,,,,,,0.5612245202064514,1.5776307582855225,1.7654439210891724,5.926400184631348,0.0006762146949768066,2.434419870376587,,,,,,
27,609,,,,,,,0.5780220031738281,1.8060741424560547,1.9960973262786865,7.01461935043335,-0.015484452247619629,2.648512601852417,,,,,,
27,615,,,,,,,,,,,,,0.4677917957305908,2.2147531509399414,2.406968593597412,10.846269607543945,-0.03612073138356209,3.147061347961426
28,619,,,,,,,0.5459184050559998,1.6844123601913452,1.8715537786483765,6.648850440979004,0.0009286999702453613,2.5785365104675293,,,,,,
28,629,,,,,,,0.4656934142112732,1.992438554763794,2.181971549987793,8.204909324645996,-0.07095015048980713,2.8644213676452637,,,,,,
28,637,,,,,,,,,,,,,0.4677917957305908,2.214005470275879,2.406304359436035,10.839229583740234,-0.03553031012415886,3.14614200592041
29,639,,,,,,,0.5487179756164551,1.6184874773025513,1.8067346811294556,6.123568058013916,-0.0068359375,2.4745843410491943,,,,,,
29,649,,,,,,,0.5018342137336731,1.759291172027588,1.9491772651672363,6.848207950592041,-0.01182091236114502,2.616908073425293,,,,,,
29,659,,,,,,,0.5202311873435974,2.941873788833618,3.1394948959350586,14.534689903259277,-0.0073473453521728516,3.812438726425171,,,,,,
29,659,,,,,,,,,,,,,0.4677917957305908,2.2137155532836914,2.4060349464416504,10.8367280960083,-0.035295918583869934,3.1457934379577637
30,669,,,,,,,0.5717422962188721,1.8468471765518188,2.0357227325439453,7.423996925354004,-0.02015841007232666,2.724701166152954,,,,,,
30,679,,,,,,,0.5298833847045898,1.8863710165023804,2.074483633041382,7.651854515075684,0.0009447336196899414,2.7661986351013184,,,,,,
30,681,,,,,,,,,,,,,0.4677917957305908,2.2141175270080566,2.4063799381256104,10.840842247009277,-0.03557345271110535,3.146280527114868
31,689,,,,,,,0.6598837375640869,1.578639268875122,1.7675777673721313,5.809599876403809,-0.09269368648529053,2.410311222076416,,,,,,
31,699,,,,,,,0.5594456791877747,1.7872917652130127,1.9783720970153809,6.802558422088623,-0.0027883052825927734,2.6081714630126953,,,,,,
31,703,,,,,,,,,,,,,0.4677917957305908,2.2141242027282715,2.4063897132873535,10.841025352478027,-0.03557869791984558,3.14630126953125
32,709,,,,,,,0.5926740169525146,1.7768959999084473,1.9674577713012695,6.772469520568848,-0.021213889122009277,2.6023969650268555,,,,,,
32,719,,,,,,,0.47909024357795715,1.647900938987732,1.8321731090545654,6.082633018493652,-0.03495585918426514,2.466299533843994,,,,,,
32,725,,,,,,,,,,,,,0.4677917957305908,2.2147634029388428,2.4069881439208984,10.846546173095703,-0.03608362376689911,3.1470627784729004
33,729,,,,,,,0.5346968770027161,1.6092777252197266,1.7934508323669434,6.454227924346924,-0.006056427955627441,2.5405173301696777,,,,,,
33,739,,,,,,,0.5742502212524414,1.5625660419464111,1.7470228672027588,5.744659900665283,-0.014352202415466309,2.3968019485473633,,,,,,
33,747,,,,,,,,,,,,,0.4677917957305908,2.21425461769104,2.4065451622009277,10.841407775878906,-0.03566742688417435,3.1464052200317383
34,749,,,,,,,0.49343064427375793,1.782735824584961,1.970890998840332,7.123485565185547,-0.041663169860839844,2.6689858436584473,,,,,,
34,759,,,,,,,0.4718361496925354,1.7407424449920654,1.930780053138733,6.510591506958008,-0.01701819896697998,2.551586151123047,,,,,,
34,769,,,,,,,0.5321637392044067,1.0391141176223755,1.2216650247573853,3.4473540782928467,0.008768260478973389,1.8567051887512207,,,,,,
34,769,,,,,,,,,,,,,0.4677917957305908,2.213866710662842,2.4062013626098633,10.837237358093262,-0.03534094616770744,3.1458823680877686
