epoch,step,test_direction_accuracy,test_loss,test_mae,test_mse,test_r2,train_direction_accuracy,train_loss,train_mae,train_mse,train_r2,val_direction_accuracy,val_loss,val_mae,val_mse,val_r2
0,9,,,,,,0.5107758641242981,2.8981621265411377,3.139822483062744,24.718441009521484,-0.01401817798614502,,,,,
0,19,,,,,,0.5237069129943848,2.5552077293395996,2.7949094772338867,21.861770629882812,-0.011250615119934082,,,,,
0,29,,,,,,0.5043103694915771,2.4377400875091553,2.675762891769409,20.75255012512207,-0.021596670150756836,,,,,
0,35,,,,,,,,,,,0.6391803622245789,2.5202126502990723,2.755441665649414,23.569812774658203,-0.0004926609108224511
1,39,,,,,,0.5510057210922241,2.461679697036743,2.69988751411438,21.32011604309082,-0.011190056800842285,,,,,
1,49,,,,,,0.5316091775894165,2.6870734691619873,2.9236533641815186,22.90276527404785,-0.01346433162689209,,,,,
1,59,,,,,,0.5617815852165222,2.473111629486084,2.709951400756836,21.846858978271484,-0.011443495750427246,,,,,
1,69,,,,,,0.5553160905838013,2.4535017013549805,2.691344738006592,21.456361770629883,-0.020630240440368652,,,,,
1,71,,,,,,,,,,,0.6774112582206726,2.488395929336548,2.718418836593628,23.56764793395996,-0.00039416810614056885
2,79,,,,,,0.545976996421814,2.7739548683166504,3.0130906105041504,23.979278564453125,-0.02440035343170166,,,,,
2,89,,,,,,0.6321839094161987,2.314129590988159,2.5502519607543945,20.34975814819336,-0.02071559429168701,,,,,
2,99,,,,,,0.618534505367279,2.19893217086792,2.433560609817505,19.44508171081543,-0.06096088886260986,,,,,
2,107,,,,,,,,,,,0.6991504430770874,2.46022629737854,2.686359167098999,23.580530166625977,-0.0009346734150312841
3,109,,,,,,0.5445402264595032,2.720625638961792,2.9607954025268555,23.35630989074707,-0.014777302742004395,,,,,
3,119,,,,,,0.5962643623352051,2.3282454013824463,2.564116954803467,20.712854385375977,-0.014312744140625,,,,,
3,129,,,,,,0.665229856967926,1.8527405261993408,2.0811216831207275,17.193456649780273,-0.03521573543548584,,,,,
3,139,,,,,,0.48347699642181396,2.782484292984009,3.0211496353149414,23.41229248046875,-0.080605149269104,,,,,
3,143,,,,,,,,,,,0.7041479349136353,2.440086603164673,2.6648261547088623,23.59883689880371,-0.0017069163732230663
4,149,,,,,,0.5653735399246216,2.5135862827301025,2.748563289642334,21.976118087768555,-0.04285001754760742,,,,,
4,159,,,,,,0.6149425506591797,2.331512689590454,2.5643491744995117,20.870576858520508,-0.01511538028717041,,,,,
4,169,,,,,,0.5984195470809937,2.5414464473724365,2.778546094894409,22.492786407470703,-0.01776409149169922,,,,,
4,179,,,,,,0.7701149582862854,2.097849130630493,2.3296561241149902,18.927709579467773,-0.2309941053390503,,,,,
4,179,,,,,,,,,,,0.7041479349136353,2.4251880645751953,2.648756265640259,23.61912727355957,-0.002564616734161973
5,189,,,,,,0.5675287246704102,2.3679261207580566,2.600145101547241,20.530866622924805,-0.015190720558166504,,,,,
5,199,,,,,,0.5308908224105835,2.9217891693115234,3.1569771766662598,25.99134063720703,-0.08847963809967041,,,,,
5,209,,,,,,0.6321839094161987,2.326183795928955,2.5592567920684814,20.68475914001465,-0.016002416610717773,,,,,
5,215,,,,,,,,,,,0.7041479349136353,2.4076743125915527,2.6300830841064453,23.66457176208496,-0.004488872364163399
6,219,,,,,,0.6393678188323975,2.299809694290161,2.530886650085449,20.86199188232422,-0.008680582046508789,,,,,
6,229,,,,,,0.5567528605461121,2.609158992767334,2.8466434478759766,22.703350067138672,-0.030626416206359863,,,,,
6,239,,,,,,0.5150862336158752,2.7776622772216797,3.0154473781585693,24.223587036132812,-0.06884145736694336,,,,,
6,249,,,,,,0.6293103694915771,2.2831287384033203,2.513909101486206,20.552724838256836,-0.009497642517089844,,,,,
6,251,,,,,,,,,,,0.7091454267501831,2.3966064453125,2.6177947521209717,23.691875457763672,-0.005644788034260273
7,259,,,,,,0.6127873659133911,2.359056234359741,2.5894148349761963,21.194425582885742,-0.024168848991394043,,,,,
7,269,,,,,,0.6235632300376892,2.645139217376709,2.880382537841797,23.76689338684082,-0.013308286666870117,,,,,
7,279,,,,,,0.6120689511299133,2.614896774291992,2.849349021911621,23.13758087158203,-0.01160430908203125,,,,,
7,287,,,,,,,,,,,0.7091454267501831,2.3847997188568115,2.605123996734619,23.74361228942871,-0.007837352342903614
8,289,,,,,,0.618534505367279,2.5608110427856445,2.7918856143951416,23.11720085144043,-0.02194678783416748,,,,,
8,299,,,,,,0.5890804529190063,2.876831293106079,3.11361026763916,25.67596435546875,-0.046842217445373535,,,,,
8,309,,,,,,0.7083333134651184,2.306551694869995,2.5372588634490967,21.1162109375,-0.010152578353881836,,,,,
