epoch,step,test_acc,test_f1,test_loss,test_mcc,train_acc,train_f1,train_loss,train_mcc,val_acc,val_f1,val_loss,val_mcc
0,49,,,,,0.497217059135437,0.36533957719802856,0.7361029386520386,-0.02568111941218376,,,,
0,68,,,,,,,,,0.5006816387176514,0.39393359422683716,0.7105376720428467,0.00754481041803956
1,99,,,,,0.43539324402809143,0.37770897150039673,0.7407301068305969,-0.1314930021762848,,,,
1,137,,,,,,,,,0.5068617463111877,0.6219384074211121,0.70067298412323,0.004365365486592054
2,149,,,,,0.5352798104286194,0.46197181940078735,0.7026901841163635,0.05329016596078873,,,,
2,199,,,,,0.5,0.4736842215061188,0.7127124667167664,0.05634957179427147,,,,
2,206,,,,,,,,,0.5121799111366272,0.5202265381813049,0.6952599287033081,0.02515052817761898
3,249,,,,,0.6398809552192688,0.4097560942173004,0.6513899564743042,0.15430761873722076,,,,
3,275,0.4942066967487335,0.5937580466270447,0.7033676505088806,0.009804075583815575,,,,,,,,
