epoch,step,test_acc,test_f1,test_loss,test_mcc,train_acc,train_f1,train_loss,train_mcc,val_acc,val_f1,val_loss,val_mcc
0,49,,,,,0.5272727012634277,0.3076923191547394,0.7118217349052429,0.10870064795017242,,,,
0,68,,,,,,,,,0.5193834900856018,0.3846656382083893,0.6942114233970642,0.05245189368724823
1,99,,,,,0.49152541160583496,0.3617021143436432,0.7134771943092346,0.12318897992372513,,,,
1,137,,,,,,,,,0.5259456038475037,0.4824329614639282,0.6935032606124878,0.05540311336517334
2,149,,,,,0.3661538362503052,0.47179487347602844,0.7966850399971008,0.1520591527223587,,,,
2,199,,,,,0.46299484372138977,0.6050633192062378,0.7182607054710388,0.028264515101909637,,,,
2,206,,,,,,,,,0.5121265649795532,0.25179585814476013,0.6976837515830994,0.05164013057947159
3,249,,,,,0.6463022232055664,0.3956044018268585,0.6641685366630554,0.14656946063041687,,,,
3,275,,,,,,,,,0.5213732123374939,0.3956344723701477,0.6948611736297607,0.05589047819375992
4,299,,,,,0.3944636583328247,0.1463414579629898,0.7441319823265076,0.045168980956077576,,,,
4,344,,,,,,,,,0.49737754464149475,0.09910028427839279,0.7073462605476379,0.02359415404498577
5,349,,,,,0.8613333106040955,0.1875,0.5789840817451477,0.14419572055339813,,,,
5,399,,,,,0.3118811845779419,0.3766816258430481,0.7708074450492859,0.0252903550863266,,,,
5,413,,,,,,,,,0.522409200668335,0.6219142079353333,0.6941218972206116,0.044064734131097794
6,449,,,,,0.5869565010070801,0.3048780560493469,0.6802306771278381,0.01299966312944889,,,,
6,482,,,,,,,,,0.5217419862747192,0.5463359355926514,0.6947203278541565,0.042326316237449646
7,499,,,,,0.5649819374084473,0.6694101691246033,0.6669241786003113,0.09469334781169891,,,,
7,549,,,,,0.5871369242668152,0.4265129566192627,0.6905611753463745,0.1039898470044136,,,,
7,551,,,,,,,,,0.5209070444107056,0.38503628969192505,0.6950495839118958,0.055856771767139435
8,599,,,,,0.5492957830429077,0.5555555820465088,0.6782994270324707,0.14285951852798462,,,,
8,620,,,,,,,,,0.5240607857704163,0.5896961092948914,0.6952617168426514,0.04580582678318024
9,649,,,,,0.47457626461982727,0.39889195561408997,0.708081066608429,0.10318335145711899,,,,
9,689,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6947416663169861,0.05822938308119774
10,699,,,,,0.6068181991577148,0.361623615026474,0.6759182810783386,0.11488504707813263,,,,
10,749,,,,,0.8403756022453308,0.190476194024086,0.6028908491134644,0.15514913201332092,,,,
10,758,,,,,,,,,0.5117145776748657,0.2357959896326065,0.7009947896003723,0.05422968044877052
11,799,,,,,0.5578634738922119,0.45818182826042175,0.6827807426452637,0.15821003913879395,,,,
11,827,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6941989064216614,0.05822938308119774
12,849,,,,,0.5175096988677979,0.32972973585128784,0.6989709138870239,0.036857571452856064,,,,
12,896,,,,,,,,,0.5143814086914062,0.26773691177368164,0.7005748748779297,0.05665089935064316
13,899,,,,,0.614973247051239,0.2702702581882477,0.6626595854759216,0.020181819796562195,,,,
13,949,,,,,0.5912240147590637,0.5629629492759705,0.6861787438392639,0.19196070730686188,,,,
13,965,,,,,,,,,0.5184915065765381,0.3384551703929901,0.6975876688957214,0.056731484830379486
14,999,,,,,0.6055276393890381,0.4206642210483551,0.6726813316345215,0.1973213255405426,,,,
14,1034,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6956191658973694,0.05822938308119774
15,1049,,,,,0.6499999761581421,0.3185840845108032,0.6809763312339783,0.0956210270524025,,,,
15,1099,,,,,0.5692307949066162,0.3636363744735718,0.6771152019500732,0.10215587168931961,,,,
15,1103,,,,,,,,,0.5049816370010376,0.1647057831287384,0.7034743428230286,0.04359491169452667
16,1149,,,,,0.48249998688697815,0.445040225982666,0.6967639327049255,0.10647417604923248,,,,
16,1172,,,,,,,,,0.5233760476112366,0.5298216938972473,0.6951020359992981,0.046296101063489914
17,1199,,,,,0.47777777910232544,0.30678465962409973,0.7243202328681946,0.024584703147411346,,,,
17,1241,,,,,,,,,0.5156099796295166,0.3119044303894043,0.6985076069831848,0.05257166177034378
18,1249,,,,,0.5578406453132629,0.3008130192756653,0.6766943335533142,0.06767939031124115,,,,
18,1299,,,,,0.8028169274330139,0.08695652335882187,0.6294893026351929,0.09258412569761276,,,,
18,1310,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6960867643356323,0.05822938308119774
19,1349,,,,,0.516853928565979,0.44155845046043396,0.6934760212898254,0.11460896581411362,,,,
19,1379,,,,,,,,,0.5211613178253174,0.3743963837623596,0.6957002878189087,0.05822938308119774
20,1380,0.5095500946044922,0.6012541651725769,0.6971462368965149,0.04658879339694977,,,,,,,,
